,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
8177,Merck,A Randomized Open-Label Phase III Trial of MK-3475 Versus Platinum Based Chemotherapy in 1L Subjects With PD-L1 Strong Metastatic Non-Small Cell Lung Cancer,"This is a study to assess the efficacy and safety of pembrolizumab (MK-3475/SCH 900475) compared to standard of care (SOC) platinum-based chemotherapies in the treatment of participants with previously untreated stage IV, programmed cell death ligand 1 (PD-L1) strong expressing Non-Small Cell Lung Cancer (NSCLC). The primary hypothesis of this study is that participants with PD-L1 strong NSCLC will have a longer Progression Free Survival (PFS), as assessed by Response Evaluation Criteria in Solid Tumors version 1.1 (RECIST 1.1) when treated with pembrolizumab than when treated with SOC platinum-based chemotherapies. With Amendment 09 (20 December 2017), once participants have achieved the study objective or the study has ended, participants will be discontinued from this study and enrolled in an extension study to continue protocol-defined assessments and treatment.",2014,8,Phase 3,305,"Active, not recruiting","Carcinoma, Non-Small-Cell Lung",August,2011-2015,100-499
8178,Gilead,An Open-label Study to Assess the Long-term Safety and Efficacy of ONO/GS-4059 in Subjects With Relapsed/Refractory B-cell Malignancies,"This study will determine the long-term safety, tolerability, and efficacy of tirabrutinib in adults in a prior tirabrutinib study and whose disease had not progressed on the parent study. The dosing regimen will be based on the prior dosing regimen from the parent study.",2015,11,Phase 1,29,"Active, not recruiting",Neoplasms,November,2011-2015,<50
8179,GSK,"A Randomized, Double-blind, Multi-center, Placebo-controlled, Cross-over Study to Determine the Consistency of Response for Trexima* (Sumatriptan 85mg/Naproxen Sodium 500mg) Administered During the Mild Pain Phase for the Acute Treatment of Multiple Migraine Attacks (*Treximet)",The purpose of this study is to determine the consistency of response for Treximet (formerly known as Trexima) when treating four acute migraine attacks at the mild pain phase and within 1 hour of onset of head pain.,2005,10,Phase 3,623,Completed,Migraine Disorders,October,2001-2005,500-999
8180,Sanofi,Treatment With AMD3100 in Non-Hodgkin's Lymphoma and Multiple Myeloma Patients to Increase the Number of Peripheral Blood Stem Cells When Given a Mobilizing Regimen of G-CSF,This study evaluates the safety and efficacy of plerixafor given in addition to granulocyte-colony stimulating factor (G-CSF) for collection of peripheral blood stem cells (PBSCs) for autologous transplantation in patients with non-Hodgkin's lymphoma (NHL) and multiple myeloma (MM). Efficacy outcomes include evaluation of fold increase in circulating CD34+ cells from just before the first plerixafor injection to 10-11 hours post plerixafor (just before apheresis) and assessment of successful polymorphonuclear leukocyte (PMN) engraftment after transplantation. Data from this protocol will assist in the determination of the dosing schedule for future studies.,2004,3,Phase 2,49,Completed,"Lymphoma, Non-Hodgkin",March,2001-2005,<50
8181,GSK,Non-inferiority of Co-administration of GSK Biologicals'Pneumococcal Conjugate Vaccine GSK1024850A With DTPa-IPV-Hib Versus Co-administration With DTPa-HBV-IPV/Hib.,"The purpose of this trial is to evaluate the immunogenicity and safety of a pneumococcal conjugate vaccine when co-administered with DTPa-IPV-Hib or DTPa-HBV-IPV/Hib in infants as a three-dose primary immunisation course during the first 6 months of life and as a booster dose at 11-12 months of age. The impact of the pneumococcal conjugate vaccine on nasopharyngeal carriage of S. pneumoniae and H. influenzae in children in their first two years of life will also be assessed. The Protocol Posting has been updated in order to comply with the FDA Amendment Act, Sep 2007.",2008,4,Phase 3,780,Completed,Streptococcal Infections,April,2006-2010,500-999
8182,Roche,"An Open-Label, Multi-Center Study Evaluating the Effect on Viral Activity and the Safety and Tolerability of Extended Treatment of Pegasys® (Peginterferon Alfa 2a ) in Combination With Copegus® (Ribavirin) in Genotype 1, 2 and 3 Chronic Hepatitis C Patients Defined as Slow Responders/Non-RVR","This open-label, multi-center study will evaluate the safety and tolerability and the effect on viral activity of a combined PEGASYS and COPEGUS extended therapy in patients with chronic hepatitis C with genotype 1, 2 and 3. Patients who completed 48 weeks (genotype 1) or 24 weeks (genotype 2 and 3) of standard treatment with PEGASYS and COPEGUS and were identified as slow virological responders will be enrolled in this study in order to receive additional 24 weeks of treatment. PEGASYS 180 micrograms will be administered sc once weekly and COPEGUS will be administered as 800 mg, or 1000-1200 mg daily oral doses. The anticipated time on study treatment is 24 weeks. The target sample size is 50-150 patients.",2009,12,Phase 4,59,Completed,Hepatitis,December,2006-2010,50-99
8183,Merck,"A Prospective Randomized Open Label Blinded Endpoint Multicenter Study in Patients With Coronary Artery Disease to Assess the LDL Lowering Effect of Switching to Ezetimibe (+) Simvastatin for Cholesterol Lowering, Compared the Dose of the Statin Used.","In patients with coronary artery disease and a LDL-C level between 2.5 mmol/L and 5.0 mmol/L on a stable (> 4 weeks) statin starting dose (simvastatin 20 mg or atorvastatin 10 mg), investigate what the LCL-C lowering efficacy is of doubling the statin dose (to 40 mg simvastatin or 20 mg atorvastatin) versus a combination tablet of ezetimibe 10 mg plus simvastatin 20 mg once daily for 12 weeks. It is postulated that more patients reach their LDL-C treatment goal with the combination tablet compared to doubling the starting dose. Furthermore, the effect of both treatment regimens on other lipid parameters, safety and LDL-subfractions will be measured.",2005,11,Phase 4,367,Completed,Coronary Artery Disease,November,2001-2005,100-499
8184,Sanofi,"A Phase 4, Multi-center, Randomized, Double-blind, Placebo-controlled, Parallel Study to Assess the Efficacy and Safety of Doxercalciferol Capsules in Vitamin D-replete Subjects With Chronic Kidney Disease (CKD) Stages 3 or 4 With Secondary Hyperparathyroidism (SHPT).",The purpose of this study is to demonstrate the safety and effectiveness of Hectorol® (doxercalciferol) capsules in treating patients with Stage 3 or Stage 4 chronic kidney disease (CKD) with secondary hyperparathyroidism who have vitamin D levels in the normal range. Previous studies with doxercalciferol were conducted in patients who had low levels of vitamin D.,2005,7,Phase 4,70,Completed,"Renal Insufficiency, Chronic",July,2001-2005,50-99
8185,JNJ,"A Randomized, Double-Blind, Placebo- and Oxycodone Immediate Release (IR)-Controlled Study of Tapentadol IR for the Treatment of Acute Pain Caused by Vertebral Compression Fractures Associated With Osteoporosis",The purpose of this study is to determine the effectiveness and safety of tapentadol immediate release (IR) as compared with placebo and oxycodone IR in patients with acute pain caused by vertebral compression fractures (VCF) associated with assumed osteoporosis for whom treatment with oral opioid analgesics is appropriate.,2008,9,Phase 3,108,Completed,Back Pain,September,2006-2010,100-499
8186,Pfizer,A Post-Marketing Clinical Pharmacokinetics Study Of Gabapentin In Japanese Epileptic Subjects With Renal Impairment,"The primary objectives of this study are to evaluate the pharmacokinetics (PK) following administration of gabapentin in Japanese epileptic patients with renal impairment to confirm if there are any clinically relevant differences between the plasma gabapentin concentration simulated by population PK model, which was used for the evidence of the dose adjustment for the patients with renal impairment, and observed plasma gabapentin concentration.",2010,3,Phase 4,1,Terminated,Renal Insufficiency,March,2006-2010,<50
8187,GSK,"An Open-label, Multicenter, Phase I/II Study of Pazopanib in Combination With Paclitaxel in First-line Treatment of Subjects With Stage IIIBwet/IV Non-small Cell Lung Cancer",The Phase I part of the study will identify the doses of pazopanib and paclitaxel that can be administered safely in combination. The Phase II part of the study will not be progressed as documented in Protocol Amendment 01.,2009,7,Phase 1,30,Completed,Lung Neoplasms,July,2006-2010,<50
8188,GSK,"A Two-part, Randomised, Placebo-controlled Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamicsof Single and Repeat Doses of Intravenously Infused GSK1995057 in Healthy Subjects.","The main purpose of the study is to see how safe GSK1995057 is and how well it is tolerated after dosing. The study will also investigate how GSK1995057 is taken up, metabolised (chemically broken down), distributed through the body and excreted, and what some of the effects of the study drug are.",2011,3,Phase 1,56,Completed,Respiration Disorders,March,2011-2015,50-99
8189,Gilead,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Ranolazine When Added to Glimepiride in Subjects With Type 2 Diabetes Mellitus","This is a randomized, double-blind, placebo-controlled, parallel-group, multi-center study to determine the effect of ranolazine when added to glimepiride on glycemic control in adults with type 2 diabetes mellitus (T2DM) who are inadequately controlled despite current treatment with stable sulfonylurea or metformin therapy in addition to diet and exercise.",2012,1,Phase 3,431,Completed,Diabetes Mellitus,January,2011-2015,100-499
8190,Roche,Biomarkers Impact on the Response to Treatment With Erlotinib in First Line Non-small Cell Lung Cancer With EGFR Activating Mutations - BIOTEC,"This open-label, single-arm, multi-center study will evaluate the progression-free survival in participants with histologically documented, advanced and/or metastatic chemotherapy naive, non-small cell lung cancer (NSCLC) with Epidermal Growth Factor Receptor (EGFR) positive mutations and receiving erlotinib treatment. The anticipated time on study treatment is until disease progression, unacceptable toxicity, withdrawal due to any reason or death.",2011,6,Phase 2,23,Completed,"Carcinoma, Non-Small-Cell Lung",June,2011-2015,<50
8191,Pfizer,"A Phase 2a, Double-blind, Randomized, Placebo-controlled, Parallel Group Study To Evaluate The Efficacy And Safety Of Oral PF-06651600 And PF-06700841 As Induction And Open Label Extension Treatment In Subjects With Moderate To Severe Crohn's Disease","The objectives of this study are to evaluate the efficacy, safety, tolerability, pharmacokinetics, and pharmacodynamics of PF-06651600 (200 mg for 8 weeks followed by 50 mg for 4 weeks) dosed once daily and PF-06700841 (60 mg for 12 weeks) dosed once daily during an induction period of 12 weeks, followed by an open label extension period at doses of 50 mg and 30 mg of PF 06651600 and PF 06700841, respectively, for 52 weeks.",2018,2,Phase 2,250,Recruiting,Crohn Disease,February,2016-2020,100-499
8192,GSK,"A Double-blind, Triple Dummy, Placebo-controlled, Randomised, Parallel Group Positron Emission Tomography Study to Investigate the Effects of a 8 Week Administration of GW597599 and Paroxetine Either Alone or in Combination on Regional Cerebral Blood Flow During a Public Speaking Test in Subjects Affected by Social Phobia.","This six-arm study is being conducted to measure the effect of a combination of paroxetine and vestipitant on the arousal induced by public speaking in Seasonal Effective Disorder (SAD) patients, using functional brain imaging readouts (i.e., WAT(Wave Analysis Technology) PET(Positron Emission Tomography)), after one or eight weeks of treatment. The effect of paroxetine alone after one or eight weeks of treatment will also be measured.",2004,11,Phase 2,72,Completed,Depressive Disorder,November,2001-2005,50-99
8193,Novartis,"A Randomized, Double-blind, Placebo-controlled, Single Dose, Parallel Group Study to Assess the Safety, Tolerability, Bioavailability, Pharmacokinetics, and Pharmacodynamics of Subcutaneous LGT209 in Hypercholesterolemic Patients on Stable Doses of Atorvastatin or Simvastatin and in Healthy Volunteers","This study is designed to investigate the safety, tolerability, pharmacokinetics and pharmacodynamics of LGT209 in hypercholesterolemic patients taking common statin medications and in healthy volunteers.",2011,7,Phase 1,25,Completed,Hypercholesterolemia,July,2011-2015,<50
8194,Pfizer,"A Phase 1 Safety, Pharmacokinetic And Pharmacodynamic Study Of AG-024322, An Inhibitor Of Cyclin-Dependent Kinase 1, 2 And 4, Administered Intravenously Daily For 5 Days Every 3 Weeks To Patients With Advanced Cancer",AG-024322 may work in cancer by stopping cancer cells from multiplying. AG-024322 is and intravenous drug from a new class of drugs call cyclin-dependent kinase (CDK inhibitors). This research study is the first time that AG-024322 will be given to people.,2004,12,Phase 1,37,Terminated,"Lymphoma, Non-Hodgkin",December,2001-2005,<50
8195,GSK,A Pharmacy Based Open Study to Evaluate Whether Pack Size Affects Compliance for Subjects Diagnosed With Diabetes Type II Who Are Established on Metformin Treatment,"MTF116086 is an open-label, randomised, parallel-design study in subjects with type II diabetes. The study is site-based, with local pharmacies serving as the sites and pharmacists as principal investigators for the sites. All subjects will enter an initial 8-week observational phase during which purchase behaviour and compliance with usual metformin use will be observed and recorded. At the end of the observational phase, subjects will be randomised to one of the two arms (metformin small pack vs. metformin large pack) for a 20-week interventional phase. The medication in the interventional phase is provided to the subjects free of charge. HbA1c will be collected for all subjects during Week 0, Week 8, and Week 28. Subjects will be asked questions about their tablet compliance, their satisfaction with the pack size they received and reasons for missing doses throughout the interventional phase by the pharmacist. The pharmacy visit on Week 28 will be end of the study.",2013,5,Phase 4,31,Terminated,"Diabetes Mellitus, Type 2",May,2011-2015,<50
8196,Pfizer,"An Open-label, Noncomparative, Multi-center, Emergency Use Protocol Administering Tigecycline for the Treatment of Subjects With Infections Due to Resistant Pathogens.",The purpose of this study is to provide a mechanism for the emergency use of tigecycline in the appropriate clinical situations. The secondary objective is to evaluate the safety and efficacy of tigecycline in the treatment of patients with selected serious infections where other treatment has not been successful.,2004,1,Phase 3,26,Completed,Bacterial Infections,January,2001-2005,<50
8197,Merck,"A Two-Part, Open-Label Study to Investigate the Single-Dose Pharmacokinetics of MK-8931 When Administered to Subjects With Mild and Moderate Hepatic Insufficiency","This study consists of Part I and an optional Part II. The purpose of Part I is to compare the plasma pharmacokinetics of verubecestat (MK-8931) following administration of a single oral dose of 40 mg MK-8931 to participants with moderate hepatic insufficiency (HI) to that of healthy matched controls. An interim safety and pharmacokinetic analysis on the basis of Part I will be performed in order to support the decision to continue with the optional Part II. If a decision to continue with Part II is made, participants with mild HI will be enrolled to receive a single oral dose of 40mg MK-8931. If any healthy participants from Part I do not meet the matching criteria for Part II additional healthy participants will be enrolled.",2016,10,Phase 1,16,Completed,Cognitive Dysfunction,October,2016-2020,<50
8198,Merck,"Prospective, Open-labeled Trial in Patients With Systolic Heart Failure to Evaluate Bisoprolol Treatment for the Effects on Surrogate Markers of Heart Failure in Korea (PRISM)","This is a prospective, open-labeled, multi-centric trial to evaluate the effect of bisoprolol (between low dose and high dose) on surrogate markers of heart failure in Korea.",2009,10,Phase 4,180,Completed,Heart Failure,October,2006-2010,100-499
8199,JNJ,"Double-blind, Randomized, Placebo-controlled Clinical Trial to Assess the Efficacy and Safety of R051619 (Cisapride Oral Suspension 0.2mg/kg q.i.d) for the Treatment of Feeding Intolerance in Premature Infants",The purpose of this study is to evaluate the effectiveness of Cisapride in improving feeding problems in premature newborn infants.,2003,3,Phase 4,8,Terminated,Premature Birth,March,2001-2005,<50
8200,Pfizer,A Phase II Open Label Study of SU101 for Patients With Anaplastic Astrocytoma in First Relapse,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of leflunomide in treating patients who have anaplastic astrocytoma in first relapse.,1998,12,Phase 2,60,Completed,Nervous System Neoplasms,December,1996-2000,50-99
8201,Sanofi,"Immunogenicity and Safety of Japanese Encephalitis Chimeric Virus Vaccine (JE CV) Concomitantly Administered With Measles, Mumps, and Rubella (MMR) Vaccine in Toddlers in Taiwan.","This study is designed to compare the immunogenicity of Japanese encephalitis chimeric virus vaccine (JE-CV) and measles-mumps-rubella (MMR)vaccine when given together or when given at separate visits 6 weeks apart in toddlers aged 12 to 18 months. Primary objective: - To demonstrate the non-inferiority of the antibody responses in terms of seroconversion of the concomitant administration of JE-CV and MMR compared to the antibody responses after the single administration of JE-CV and MMR vaccine. Secondary objectives: - To describe the immune response to JE CV and MMR before and after one dose of JE CV and MMR vaccine, respectively. - To describe the safety of a single dose of JE-CV and MMR vaccine (given separately at a 6-week interval and the safety of the concomitant administration of JE-CV and MMR vaccine in all subjects up to 6 months after last vaccination.",2010,8,Phase 3,542,Completed,Measles,August,2006-2010,500-999
8202,Merck,"A Phase Ib Randomized, Double-Blinded, Placebo-Controlled Multiple Rising Dose Clinical Trial to Evaluate the Safety, Efficacy, Pharmacokinetics, Pharmacodynamics, and Immunogenicity of Intravenous MK-8226 in Patients With Moderate to Severe Atopic Dermatitis","This is a 3-part study to assess the safety, tolerability, efficacy, pharmacokinetics (PK), pharmacodynamics (PD), and immunogenicity of MK-8226 in participants with moderate to severe atopic dermatitis. Part 1 (multiple rising dose study) objectives were to find the maximum tolerated dose (MTD) of MK-8226 and to assess safety and PK. Part 2 objectives were to determine safety, PK, and preliminary efficacy. Part 3 objectives were to further define safety and PK, and explore MK-8226 PK/PD to model the optimal dose range for future studies. The study was terminated early due to business reasons on 08 May 2014; final results from an analysis for Part 1 (efficacy, PK, safety, immunogenicity) and Part 2 (safety, immunogenicity) are summarized.",2012,12,Phase 1,65,Terminated,"Dermatitis, Atopic",December,2011-2015,50-99
8203,GSK,"A 28 Day, Polysomnographic and Subjective Assessment of GW679769 for the Treatment of Primary Insomnia: A Randomized, Double-blind, Parallel-Group, Placebo-Controlled Trial.",This study is designed to find the optimal (best) doses of GW679769 that could be given daily to promote sleep onset and maintain sleep during the night without significant next-day thinking impairment and drowsiness in subjects with primary insomnia.,2006,1,Phase 2,342,Completed,Sleep Initiation and Maintenance Disorders,January,2006-2010,100-499
8204,Roche,"A Randomized Study to Assess the Effect on Response Rate of MabThera (Rituximab) Added to a Standard Chemotherapy, Bendamustine or Chlorambucil, in Patients With Chronic Lymphocytic Leukemia","This randomized, open-label, parallel group study will assess the effect on response rate and the safety of MabThera added to either bendamustine or chlorambucil in patients with chronic lymphocytic leukemia. Patients will be randomized to receive six 4-week cycles of either A) MabThera (375mg/m2 iv day 1 of cycle 1, 500mg/m2 iv cycles 2-6) plus bendamustine (90mg/m2 as first-line or 70mg/m2 as second-line therapy, iv on days 1 and 2, cycles 1-6), or B)MabThera plus chlorambucil (10mg/m2 po daily, days 1-7, cycles 1-6). Patients in group B can receive up to 6 further cycles of chlorambucil as monotherapy. Anticipated time on study treatment is 6-12 months, and target sample size is 600-700 individuals.",2010,3,Phase 4,357,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell",March,2006-2010,100-499
8205,Roche,Open-Label Study of Bevacizumab (Avastin®) and Taxane Monotherapy for the First-Line Treatment of Patients With Advanced Triple Negative Breast Cancer,"This open-label, multi-center study will evaluate the safety, tolerability and effect of bevacizumab (Avastin) in combination with taxane (paclitaxel/ docetaxel) monotherapy on disease progression, survival time and Karnofsky performance status in female participants with estrogen-, progesterone- and human epidermal growth factor receptor 2 (HER2)-negative (triple-negative) breast cancer.",2010,3,Phase 4,49,Completed,Triple Negative Breast Neoplasms,March,2006-2010,<50
8206,Merck,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Efficacy, Safety, and Tolerability of Ezetimibe 10 mg or Placebo Added to Existing Atorvastatin 10 mg or 20 mg in Attaining Low-Density Lipoprotein Cholesterol Target Levels in Patients With Hypercholesterolemia and Coronary Heart Disease.",The purpose of this study is to investigate additional cholesterol lowering effects in patients with coronary heart disease by giving an investigational drug with a patient's current approved cholesterol lowering medication.,2003,3,Phase 3,442,Completed,Coronary Disease,March,2001-2005,100-499
8207,Pfizer,"Phase I/2 Placebo-Controlled, Randomized, Double-Blind Trial to Evaluate the Safety, Tolerability, and Immunogenicity of 3 Ascending Dose Levels of a 4-Antigen Staphylococcus Aureus Vaccine (SA4Ag) in Healthy Adults Aged 18 to <65 Years","This is a first-in-human (Phase 1) and Phase 2 study of a single vaccination with one of three dose levels of an investigational vaccine against Staphylococcus aureus (SA4Ag). The main goal of the study is to determine how safe and well tolerated the vaccine is as well as to describe the immune response elicited by the vaccine in healthy adults aged 18 to <65 years. In addition, the study aims to assess the effect of the SA4Ag vaccine on the presence of the Staphylococcus aureus on the skin and within the nose, throat and perineum of healthy adults aged 18 to <65 years.",2011,8,Phase 1/Phase 2,456,Completed,Staphylococcal Infections,August,2011-2015,100-499
8208,GSK,"A Phase IIIb, Partially Blind, Randomized, Placebo-controlled Study to Asses the Effect on Immunogenicity of Administration of Vaccine Without Buffering Agent and to Assess Heat Stability in Terms of Immunogenicity, Reactogenicity and Safety of GlaxoSmithKline Biologicals' Oral Live Attenuated Human Rotavirus (HRV) Vaccine Following a 0, 2 Month Schedule, in Healthy Infants Previously Uninfected With Human Rotavirus","Rotavirus (RV) is the most important cause of acute gastroenteritis (GE) requiring hospitalization of infants and young children in developed and developing countries and can be a frequent cause of death in children less than 5 years of age. GSK Biologicals has developed a vaccine against human rotavirus gastroenteritis. In this study, the immunogenicity, reactogenicity and safety of the HRV vaccine will be evaluated when stored or reconstituted in circumstances different from the recommendations: i.e. when not reconstituted with a buffer or when stored for 7 days at 37°C before reconstitution. In addition, the effect of feeding will be explored for HRV vaccine reconstituted without buffer.",2005,3,Phase 3,450,Completed,Gastroenteritis,March,2001-2005,100-499
8209,Bayer,A Phase I Pharmacodynamic Study of Copanlisib (BAY 80-6946) as Monotherapy in Patients With Non-Hodgkin's Lymphoma and Solid Tumors,This study aims to analyze what the study drug does to the body and its relationship to drug levels and safety after patients with advanced cancer have been treated with copanlisib in different dose groups.,2014,8,Phase 1,63,Completed,"Lymphoma, Non-Hodgkin",August,2011-2015,50-99
8210,GSK,"A Phase 3 Randomized, Open-label (Sponsor-blind), Active-controlled, Parallel-group, Multi-center, Event Driven Study in Non-dialysis Subjects With Anemia Associated With Chronic Kidney Disease to Evaluate the Safety and Efficacy of Daprodustat Compared to Darbepoetin Alfa",The purpose of this multi-center event-driven study in non-dialysis (ND) participants with anemia associated with chronic kidney disease (CKD) is to evaluate the safety and efficacy of daprodustat compared to darbepoetin alfa.,2016,9,Phase 3,4500,Recruiting,Anemia,September,2016-2020,1K-5K
8211,Roche,"A Randomized, Double-blind Study of the Effect of the DPP-IV Inhibitor on HbA1c and Safety in Patients With Type 2 Diabetes","This study will assess the efficacy, safety and tolerability of DPP-IV Inhibitor compared to placebo in patients with type 2 diabetes. The anticipated time on study treatment is < 3 months and the target sample size is 100-500 individuals.",2005,6,Phase 2,291,Completed,"Diabetes Mellitus, Type 2",June,2001-2005,100-499
8212,Sanofi,"A Randomized, Double-blind, Parallel-group, Placebo- and Active Calibrator-controlled Study Assessing the Clinical Benefit of SAR153191 Subcutaneous (SC) on Top of MTX in Patients With Active RA Who Have Failed Previous TNF-α Antagonists","Primary Objective: - To demonstrate that sarilumab (SAR153191/REGN88) on top of methotrexate (MTX) was superior in efficacy to placebo for the relief of signs and symptoms of rheumatoid arthritis (RA), in participants with active RA who had failed up to 2 tumor necrosis factor-alpha (TNF-α) antagonists. Secondary Objectives: - To assess the safety of sarilumab; - To document the pharmacokinetic profile of sarilumab.",2010,11,Phase 2,16,Terminated,"Arthritis, Rheumatoid",November,2006-2010,<50
8213,GSK,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter Study to Evaluate the Efficacy and Safety of Once-Daily Intranasal Administration of Fluticasone Furoate Nasal Spray 110mcg in Adult and Adolescent Subjects 12 Years of Age and Older With Perennial Allergic Rhinitis (PAR)","The purpose of this study is to compare the effects (effectiveness and safety) of an intranasal corticosteroid (fluticasone furoate nasal spray [FFNS]), with a placebo nasal spray for the treatment of perennial (year-round) allergic rhinitis.",2008,1,Phase 4,315,Completed,"Rhinitis, Allergic, Perennial",January,2006-2010,100-499
8214,Merck,"Part A: A Randomized, Double-Blind, Placebo-Controlled Study to Assess the Effects of MK0524 Compared to Placebo Part B: A Dose-Ranging Study to Evaluate the Tolerability of MK0524 and Its Effects on Niacin-Induced Flushing in Lipid Clinic Patients",Part A: This study will determine that MK0524 is well tolerated and does not effect lipids and blood glucose when given alone. Part B: Determine dose ranges for MK0524 and MK0524 plus Niaspan(R) on the effects of lipids and blood glucose.,2004,8,Phase 2,154,Completed,Flushing,August,2001-2005,100-499
8215,Gilead,"A Double-blind, Placebo-controlled Study to Evaluate the Effect of GS-6615 on QT, Safety and Tolerability in Subjects With Long QT2 Syndrome","This study will evaluate the effect of oral eleclazine (GS-6615) on QTc interval, safety, and tolerability in adults with long QT2 syndrome.",2015,7,Phase 1,13,Completed,Syndrome,July,2011-2015,<50
8216,JNJ,"A Placebo Controlled Double-Blind, Parallel Group, Individualizing Dosing Study Optimizing Treatment of Adults With Attention Deficit Hyperactivity Disorder to an Effective Response With OROS Methylphenidate",The purpose of this study is to compare the ADHD symptom response of adults with ADHD treated with OROS MPH to those treated with placebo.,2009,7,Phase 4,357,Completed,Attention Deficit Disorder with Hyperactivity,July,2006-2010,100-499
8217,Gilead,Study of the Safety and Efficacy of AmBisome Loading Dose Regimen Vs. a Standard AmBisome Regimen for Initial Treatment of Invasive Aspergillosis and Other Filamentous Fungal Infections in Immunocompromised Patients,"To evaluate and compare two AmBisome dosing regimens for the initial treatment of invasive aspergillosis and other filamentous fungal infections diagnosed by modified EORTC criteria in immunocompromised patients, as determined by overall response rates at end of course of treatment.",2003,4,Phase 3,800,Completed,Aspergillosis,April,2001-2005,500-999
8218,Pfizer,"A Phase 1b, Randomized, Subject And Investigator-Blinded, Sponsor-Open, Placebo Controlled, Cross-Over Efficacy, Safety And Tolerability Study Of Single Oral Split Dose Administration Of PF-06412562 In Subjects With Parkinson's Disease","The B7441003 study will assess PF-06412562 for motor benefit in Parkinson's disease subjects. Safety, tolerability and PK of PF-06412562 in Parkinson's disease subjects will also be evaluated.",2014,3,Phase 1,19,Completed,Parkinson Disease,March,2011-2015,<50
8219,Merck,"A Randomized, Double-Blind, Two Way Crossover Evaluation of the Effects of a Single Dose of Denufosol Tetrasodium (INS37217) Inhalation Solution Versus Placebo (0.9% Sodium Chloride Solution) on Mucociliary Clearance in Patients With Mild to Moderate Cystic Fibrosis Lung Disease",The purpose of this trial is to evaluate the effects of a single dose of denufosol versus placebo on mucociliary clearance in patients with mild to moderate CF lung disease,2007,8,Phase 2,6,Terminated,Cystic Fibrosis,August,2006-2010,<50
8220,Pfizer,"A 6-Month, Randomized, Double-Blind, Placebo-Controlled, Multicenter, Safety, Tolerability, and Efficacy Study of 3 Doses of Lecozotan (SRA-333) SR in Outpatients With Mild to Moderate Alzheimer's Disease Treated With a Cholinesterase Inhibitor","The purpose of the study is to determine the safety, tolerability, and efficacy of 3 doses of lecozotan in combination with a cholinesterase inhibitor in patients with mild to moderate Alzheimer's disease (AD).",2006,3,Phase 2/Phase 3,250,Completed,Alzheimer Disease,March,2006-2010,100-499
8221,Pfizer,"A 12-Week Symptomatic Effect Evaluation to Compare Celecoxib 200 mg QD, Celecoxib 200 mg BID and Diclofenac 75 mg SR BID in Patients With Ankylosing Spondylitis",To compare the safety and efficacy of once-daily and twice-daily celecoxib versus diclofenac for the treatment of ankylosing spondylitis,2003,1,Phase 3,458,Completed,"Spondylitis, Ankylosing",January,2001-2005,100-499
8222,AbbVie,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 2 Study of the Safety and Efficacy of 0.7 mg/kg/Day and 1.4 mg/kg/Day of ABT-089 in the Treatment of Children With Attention Deficit-Hyperactivity Disorder (ADHD)",The purpose of this study is to test if the investigational medication ABT-089 is a safe and effective treatment for children with Attention Deficit Hyperactivity Disorder (ADHD).,2008,3,Phase 2,121,Completed,Attention Deficit Disorder with Hyperactivity,March,2006-2010,100-499
8223,Novartis,"A Phase 3b, Open-Label, Randomized, Parallel-Group, Multi-Center Study to Evaluate the Safety of Novartis MenACWY Conjugate Vaccine When Administered With Routine Infant Vaccinations to Healthy Infants",The primary objective of this phase 3b study is to evaluate the safety and tolerability of Novartis MenACWY conjugate vaccine when administered with routine infant vaccinations to healthy infants,2008,12,Phase 3,7744,Completed,Meningitis,December,2006-2010,5K-10K
8224,Merck,"A Phase III Open-Label Clinical Trial to Study the Efficacy and Safety of the Combination Regimen Grazoprevir (GZR) and Elbasvir (EBR) in Treatment-Naïve Subjects With Chronic HCV GT1, GT4, and GT6 Infection Who Are Co-Infected With HIV",The purpose of this study is to assess the efficacy and safety of grazoprevir (MK-5172) 100 mg in combination with elbasvir (MK-8742) 50 mg in the treatment of chronic hepatitis C virus (HCV) in participants who are co-infected with human immunodeficiency virus (HIV). The primary hypothesis is that the percentage of participants who receive grazoprevir + elbasvir and achieve Sustained Virologic Response after 12 weeks of therapy (SVR12) will be greater than 70%.,2014,6,Phase 3,218,Completed,"Hepatitis, Chronic",June,2011-2015,100-499
